Points_0,Points_1,Points_2,Points_Magnitude,Point ID
1,1,4.68,4.88901,274
1,1,4.66,4.86987,275
1,1,4.64,4.85073,276
1,1,4.62,4.8316,277
1,1,4.6,4.81248,278
1,1,4.58,4.79337,279
1,1,4.56,4.77426,280
1,1,4.54,4.75517,281
1,1,4.52,4.73607,282
1,1,4.5,4.71699,283
1,1,4.48,4.69791,284
1,1,4.46,4.67885,285
1,1,4.44,4.65979,286
1,1,4.42,4.64073,287
1,1,4.4,4.62169,288
1,1,4.38,4.60265,289
1,1,4.36,4.58362,290
1,1,4.34,4.5646,291
1,1,4.32,4.54559,292
1,1,4.3,4.52659,293
1,1,4.28,4.50759,294
1,1,4.26,4.48861,295
1,1,4.24,4.46963,296
1,1,4.22,4.45066,297
1,1,4.2,4.4317,298
1,1,4.18,4.41275,299
1,1,4.16,4.39381,300
1,1,4.14,4.37488,301
1,1,4.12,4.35596,302
1,1,4.1,4.33705,303
1,1,4.08,4.31815,304
1,1,4.06,4.29926,305
1,1,4.04,4.28037,306
1,1,4.02,4.2615,307
1,1,4,4.24264,308
1,1,3.976,4.22002,309
1,1,3.9472,4.1929,310
1,1,3.91264,4.16038,311
1,1,3.87117,4.1214,312
1,1,3.8214,4.07469,313
1,1,3.76168,4.01874,314
1,1,3.69002,3.95174,315
1,1,3.60402,3.87156,316
1,1,3.50083,3.77568,317
1,1,3.37699,3.66116,318
1,1,3.22839,3.52456,319
1,1,3.05007,3.36198,320
1,1,2.83608,3.16913,321
1,1,2.5793,2.94156,322
1,1,2.27116,2.67547,323
1,1,1.65488,2.17684,324
1,1,0.422315,1.47592,325
1,1,-1.38512,1.97954,326
1,1,-3.19256,3.49177,327
1,1,-5,5.19615,328
1,1,-7,7.14143,329
1,1,-9,9.11043,330
1,1,-11,11.0905,331
1,1,-13,13.0767,332
1,1,-15,15.0665,333
1,1,-17,17.0587,334
1,1,-19,19.0526,335
1,1,-21,21.0476,336
1,1,-23,23.0434,337
1,1,-25,25.04,338
1,1,-27,27.037,339
1,1,-29,29.0345,340
1,1,-31,31.0322,341
1,1,-33,33.0303,342
1,1,-35,35.0286,343
